,Score
4905,6.86
683,6.07
11225,Unknown
12272,7.62
13441,6.88
7479,2.78
6977,Unknown
12817,Unknown
7781,Unknown
13784,Unknown
800,7.69
747,5.84
4029,7.07
16880,6.82
10464,Unknown
2206,7.47
7600,5.21
7672,Unknown
590,8.27
3689,6.36
1491,5.48
13594,Unknown
6607,8.59
14411,Unknown
16292,Unknown
962,5.7
12212,5.58
16852,Unknown
13826,Unknown
17359,5.91
5230,6.53
5786,4.67
9567,Unknown
3286,6.47
8786,5.12
6505,7.44
4246,5.41
4288,4.74
6693,6.3
10904,5.61
14398,Unknown
12202,6.78
9279,Unknown
9753,6.57
8382,Unknown
4849,5.54
7654,6.75
10632,Unknown
14888,Unknown
3325,6.08
5549,7.4
15846,Unknown
7248,6.48
14508,7.03
17371,Unknown
12486,6.03
8846,6.78
5148,7.22
8094,5.74
17378,Unknown
11078,Unknown
6908,6.89
14723,7.25
16691,6.25
8958,Unknown
13551,Unknown
4767,4.08
15855,Unknown
12273,Unknown
16183,Unknown
14463,6.47
10678,Unknown
1744,7.48
9345,6.1
1822,8.66
811,6.73
868,7.25
9239,Unknown
17112,5.83
10411,5.77
3280,Unknown
6914,6.69
8932,6.49
16415,6.51
8393,6.23
16117,Unknown
12400,6.31
10872,Unknown
3524,8.17
15961,Unknown
10540,5.24
16651,Unknown
12299,Unknown
2558,5.55
1844,5.98
5270,Unknown
10795,8.37
9608,Unknown
12550,Unknown
7567,Unknown
13902,5.54
4044,5.37
9159,Unknown
12222,6.84
13231,6.78
3372,5.38
6512,6.26
17216,Unknown
3634,6.26
10427,6.47
1743,5.91
6690,7.74
17207,Unknown
3517,6.74
16231,Unknown
10514,4.46
8323,6.57
16828,Unknown
11443,Unknown
3396,6.64
7591,Unknown
520,6.3
11227,5.39
131,8.06
10126,Unknown
15824,6.59
10605,5.53
14714,6.58
13139,6.77
7822,7.68
14900,8.05
1979,6.32
4954,6.38
6730,6.66
12629,Unknown
9657,Unknown
12893,Unknown
16976,Unknown
3597,5.79
2201,6.89
9295,7.17
1579,5.51
14606,7.53
9861,Unknown
11137,6.9
12741,Unknown
4771,5.09
5526,5.33
6698,Unknown
17400,Unknown
6824,5.68
6332,Unknown
14104,Unknown
2769,5.93
388,7.19
1953,6.33
10598,Unknown
9505,Unknown
315,8.03
2004,6.12
15055,Unknown
413,7.6
14459,5.38
16081,Unknown
3383,6.58
9871,8.33
605,6.28
15,7.42
14672,Unknown
8332,Unknown
3049,Unknown
3952,7.17
309,7.21
1483,6.06
1253,6.99
10508,6.03
6438,6.72
10360,Unknown
14067,Unknown
2517,Unknown
10538,5.43
13099,6.48
11492,5.86
2128,5.82
702,6.09
1947,6.55
13320,7.04
3842,5.27
6427,6.38
9385,7.6
1111,6.79
7985,Unknown
1904,6.93
6756,7.86
637,6.44
248,7.31
2406,6.71
4560,7.0
696,6.52
16592,Unknown
14092,5.48
14587,5.5
7660,Unknown
2228,6.98
8594,6.03
6962,5.6
70,7.76
5561,Unknown
1178,7.56
9096,7.6
9507,Unknown
15027,Unknown
1891,6.37
14858,Unknown
11313,5.03
10415,Unknown
15175,Unknown
11523,Unknown
11597,7.05
2089,7.02
16587,Unknown
12454,6.11
4191,5.36
17524,Unknown
2957,5.33
17003,5.66
5028,4.79
6501,6.64
15456,Unknown
1083,6.14
10104,5.28
2853,5.89
12933,8.93
9189,6.59
14573,8.03
4714,6.48
944,6.41
14990,Unknown
12124,5.22
10199,5.2
17202,Unknown
5386,4.8
5207,7.28
3328,7.51
13354,5.05
9231,5.1
15868,Unknown
367,6.82
10290,5.68
14506,4.65
12086,7.38
4800,6.56
1152,6.33
15381,Unknown
8604,7.66
4313,Unknown
14393,5.23
7049,Unknown
13881,Unknown
2012,7.07
2615,5.45
16591,Unknown
7958,Unknown
16749,Unknown
10372,Unknown
10861,6.57
184,7.4
17124,Unknown
15341,Unknown
15900,7.38
8124,6.36
7217,6.07
5466,4.77
14669,6.47
5516,6.35
9063,Unknown
8171,Unknown
8710,Unknown
10771,Unknown
592,6.78
10862,Unknown
16583,6.93
15543,Unknown
1028,6.54
12524,8.21
3925,8.45
13311,Unknown
15683,6.31
538,7.35
8824,Unknown
4618,6.66
14742,Unknown
11153,5.51
11910,Unknown
15673,5.81
9319,7.58
2310,6.24
5863,6.55
14504,Unknown
13593,Unknown
14177,7.62
3455,7.34
5277,7.55
9125,Unknown
7220,7.11
7731,6.79
8746,Unknown
14534,Unknown
4162,6.74
1765,6.81
8483,Unknown
7864,Unknown
5441,6.32
14096,5.97
465,6.58
12954,Unknown
1197,6.1
4209,5.34
14554,Unknown
5421,Unknown
11399,6.87
17241,Unknown
14387,7.28
9544,Unknown
2531,6.71
13869,7.83
16329,Unknown
4003,6.01
8260,Unknown
11909,7.0
6921,6.75
2019,6.95
10907,6.26
17044,Unknown
7278,7.44
9652,Unknown
14330,6.01
4111,5.07
15810,7.06
4486,7.16
1945,7.34
16403,7.63
16650,Unknown
2570,3.28
11629,6.56
15695,7.45
11110,7.65
16911,Unknown
9126,6.37
11619,Unknown
13448,Unknown
4455,6.22
15514,6.3
3283,5.3
5118,Unknown
6866,5.62
9790,7.28
10855,Unknown
6137,Unknown
11797,Unknown
8374,5.74
16026,7.21
2452,7.05
1237,7.41
17178,7.21
2060,4.21
7344,6.72
3307,5.97
14244,Unknown
10391,Unknown
133,6.59
5659,5.48
8910,5.82
408,7.46
17050,Unknown
8576,Unknown
12293,Unknown
2058,6.87
5635,5.72
11709,Unknown
6234,6.56
2764,5.82
6817,6.62
13486,5.59
9887,6.2
2215,8.31
3045,5.61
15030,Unknown
1482,6.98
7335,Unknown
9648,8.1
2943,6.12
15828,5.99
7222,Unknown
7514,Unknown
11756,Unknown
12911,Unknown
9054,5.5
2548,7.47
10524,Unknown
13173,Unknown
16265,Unknown
6891,5.43
3469,7.4
12769,Unknown
10218,Unknown
5905,7.62
4064,7.08
1858,6.7
8271,6.14
10198,6.44
4343,5.04
12798,7.6
4740,7.67
3355,7.27
15085,7.28
8034,5.44
16859,Unknown
6688,7.92
10781,Unknown
1057,6.65
16676,Unknown
6572,Unknown
14884,5.64
12608,Unknown
872,7.99
17164,Unknown
4015,6.5
4231,5.03
9711,Unknown
14698,Unknown
17416,Unknown
3492,5.92
9340,7.88
8509,6.43
17053,Unknown
14643,Unknown
16348,Unknown
1924,7.75
10802,Unknown
14445,Unknown
1351,6.91
11491,6.02
8870,7.88
866,7.1
3344,6.28
4301,6.82
10943,5.36
3533,6.51
2449,7.46
14302,6.53
5833,6.64
260,7.03
5936,5.0
4965,7.61
14300,7.48
14919,Unknown
6417,7.28
10947,Unknown
2209,5.78
833,8.96
8868,6.77
12159,5.43
16043,Unknown
7946,7.15
4960,6.61
898,6.92
6096,6.16
2417,6.19
15840,6.52
2921,6.67
12774,Unknown
2249,7.65
7800,Unknown
6580,5.57
14467,Unknown
5604,7.66
6769,6.15
9659,6.7
2459,7.15
8999,Unknown
429,6.24
2966,7.0
4720,Unknown
10883,5.47
15177,5.7
6323,6.97
6561,6.07
10043,Unknown
11790,6.07
17325,5.32
15854,Unknown
13309,6.04
6395,6.99
17089,Unknown
9180,6.6
7636,Unknown
10815,6.26
15821,Unknown
8798,Unknown
4395,7.31
2903,Unknown
5267,Unknown
8665,Unknown
4852,Unknown
10274,Unknown
10797,6.5
10875,Unknown
7794,Unknown
1656,5.46
2628,5.25
14696,6.28
10476,4.51
4723,6.82
16626,5.42
9176,Unknown
1686,6.04
3881,8.08
8583,Unknown
4215,6.18
11403,7.08
14786,7.85
3322,6.41
1723,6.81
16475,6.4
12650,Unknown
12827,Unknown
3465,7.1
9234,6.88
14853,Unknown
14975,Unknown
5553,Unknown
8209,Unknown
12396,4.76
8692,5.86
8194,Unknown
376,7.87
3460,6.69
14471,Unknown
825,6.34
704,7.37
4012,7.0
2655,7.38
16808,Unknown
7700,Unknown
8359,5.52
17204,Unknown
17392,Unknown
3442,7.32
7290,6.76
208,8.16
2337,6.4
13570,Unknown
3066,6.87
15470,6.53
8883,8.74
3909,6.99
11636,6.04
10945,6.73
9985,Unknown
9668,Unknown
1934,6.48
16456,6.37
4694,5.62
8000,6.73
2804,5.46
6260,Unknown
14179,5.69
14079,Unknown
461,6.86
10714,Unknown
753,6.98
13007,Unknown
16463,6.44
14519,Unknown
6706,7.09
8739,Unknown
4129,6.07
1049,6.48
13940,6.94
6405,6.17
7066,6.32
17136,Unknown
11112,7.27
8348,6.84
13644,8.25
14141,6.51
8903,6.5
908,7.53
8187,Unknown
14591,7.51
15261,6.55
4877,4.73
1841,6.12
9186,Unknown
14542,7.19
4121,5.53
17490,Unknown
1201,7.07
111,7.61
15647,Unknown
1701,6.3
10440,6.31
12416,6.42
7841,Unknown
978,7.34
5385,7.27
7792,Unknown
12246,7.13
8896,6.41
10670,6.9
10376,Unknown
12694,7.18
9341,7.38
14564,6.17
1408,6.23
9979,Unknown
15619,7.51
10662,Unknown
9387,Unknown
3386,4.66
12639,6.31
12243,7.98
10153,6.13
4641,6.17
14018,6.44
12008,4.86
1614,5.65
16471,5.1
16345,Unknown
9243,Unknown
9660,6.48
5294,5.73
12525,6.69
2366,6.83
15325,7.03
14676,6.38
3996,6.24
13394,Unknown
3679,6.24
10811,5.77
10649,Unknown
5860,6.9
12409,5.68
4106,8.08
11646,Unknown
9942,6.82
216,7.66
9347,Unknown
5764,5.98
11913,Unknown
4707,7.68
13276,7.21
12332,Unknown
13804,7.76
13766,5.51
3804,6.47
9880,5.17
16863,6.66
9481,6.61
13414,Unknown
13065,Unknown
9967,Unknown
14764,6.0
10439,Unknown
7554,Unknown
763,7.32
8686,Unknown
5460,6.05
12787,Unknown
10239,6.79
4894,6.62
7497,4.65
11802,6.41
6664,Unknown
6392,Unknown
2913,5.81
3351,5.0
2390,7.02
15983,6.96
13996,Unknown
16899,Unknown
14746,Unknown
1621,5.6
1202,6.14
10725,Unknown
5702,6.49
9901,6.03
2477,5.96
15581,Unknown
15025,Unknown
13757,4.91
10141,5.65
11662,6.82
17360,6.18
12314,Unknown
7696,Unknown
3297,5.91
1126,6.48
11548,Unknown
17236,Unknown
11047,4.69
7159,6.3
16101,Unknown
1669,5.18
8860,Unknown
16318,5.36
8917,6.27
1295,7.33
7319,Unknown
3898,6.0
5736,6.69
5050,Unknown
6307,Unknown
3312,5.0
479,8.24
1596,6.57
15331,Unknown
13697,7.09
13925,Unknown
10711,7.31
7648,8.39
2487,6.63
14312,8.19
13094,7.62
16237,7.57
6883,Unknown
15409,5.93
647,5.71
14844,Unknown
3613,6.36
16806,Unknown
6560,Unknown
1457,7.09
5312,6.19
13536,6.64
10845,6.41
8139,7.22
15998,Unknown
17158,Unknown
883,7.68
543,6.94
11208,6.25
606,6.19
17173,7.96
11690,7.7
14372,6.6
6387,7.0
17317,6.58
7717,6.93
7048,Unknown
5758,6.19
11785,7.03
741,9.07
11256,Unknown
1977,7.95
9687,7.27
9403,5.75
2144,5.73
16987,Unknown
15063,5.45
4429,8.02
12535,5.34
6550,6.55
2286,6.72
714,7.14
14675,5.13
14209,Unknown
3914,6.06
11345,5.14
8909,Unknown
3404,5.53
510,6.78
11527,Unknown
10336,Unknown
8887,7.42
13679,5.98
8027,Unknown
839,6.64
11778,6.2
15263,Unknown
9626,5.27
15220,Unknown
10418,Unknown
16815,Unknown
13523,Unknown
4840,6.77
8878,7.58
1142,5.37
3463,8.01
14965,Unknown
3728,6.2
12659,Unknown
1801,6.52
4756,7.56
17497,Unknown
14991,Unknown
530,7.35
1540,6.52
13082,Unknown
11765,7.86
1919,6.31
2753,6.52
16901,3.84
13546,Unknown
16060,6.54
12619,7.13
9372,7.15
8145,Unknown
7702,6.93
8822,4.85
2412,6.27
10569,8.51
8908,Unknown
4122,4.67
9391,6.15
14155,6.7
5610,6.3
1332,7.93
15864,Unknown
2876,7.39
9459,6.63
16330,8.33
1077,6.64
7652,Unknown
17220,Unknown
16963,Unknown
13541,5.53
8674,5.88
1183,6.51
6676,Unknown
15722,Unknown
3060,7.56
3859,6.4
7068,7.15
15492,Unknown
7523,4.9
7772,Unknown
5502,5.83
14950,Unknown
8928,5.92
15253,7.14
3879,6.42
15275,5.77
2180,5.65
12513,5.88
10097,5.29
17059,Unknown
15433,Unknown
8900,8.12
9138,7.65
7372,7.04
17373,8.33
8568,Unknown
9761,6.68
11211,7.09
9085,Unknown
9489,Unknown
3694,5.79
5865,6.92
10836,7.0
16615,6.83
11552,7.34
5725,5.13
13526,8.4
10604,6.01
15943,Unknown
185,7.67
863,7.17
7207,6.58
16055,6.83
4062,7.36
5496,5.03
8939,6.39
11248,Unknown
6113,6.77
1415,8.11
16924,Unknown
5465,Unknown
14872,Unknown
2163,5.47
6114,7.54
11858,7.66
13187,5.55
13374,6.24
12389,8.0
11286,6.7
9033,6.74
16544,6.32
9899,6.18
1594,6.65
10951,Unknown
10494,6.91
14526,7.21
7621,6.76
4772,4.16
9618,7.78
921,7.09
5748,Unknown
4984,6.68
5614,Unknown
2205,7.31
13762,5.94
8968,Unknown
10329,5.25
16411,6.58
2456,7.2
17007,8.15
14781,Unknown
9351,5.39
5689,5.77
2331,7.27
13060,5.6
9015,Unknown
2898,7.16
13909,Unknown
16503,6.57
9853,8.33
13420,5.2
2552,6.86
15059,Unknown
14448,6.88
1665,6.95
6510,6.65
3837,5.07
2582,6.49
5775,Unknown
15530,6.4
724,6.69
15561,Unknown
5763,6.47
14707,Unknown
4685,5.6
3142,6.94
10979,Unknown
15484,6.11
6926,6.85
9980,5.42
3527,5.79
1791,7.22
10599,7.22
4295,6.48
13589,8.22
7518,Unknown
17068,Unknown
9376,6.69
14882,6.36
16325,Unknown
5040,6.14
2168,7.06
8231,Unknown
3275,5.86
2333,6.7
1760,6.94
16697,7.38
6916,Unknown
2945,6.52
10639,6.77
8330,7.53
17235,Unknown
6750,6.49
15021,Unknown
6433,7.32
6436,6.36
15270,7.83
16559,7.57
16188,7.05
6489,7.55
11947,Unknown
8678,Unknown
7401,5.5
10333,5.2
16527,Unknown
11433,6.05
14251,Unknown
1626,7.0
8091,Unknown
7971,7.18
8443,6.76
12036,7.08
2280,7.31
11480,7.62
6850,5.85
4834,7.31
979,7.05
3819,6.54
17135,Unknown
8641,Unknown
13906,5.21
7506,Unknown
1018,6.92
2955,6.8
7559,8.11
16555,6.28
3371,5.98
2400,6.6
14455,Unknown
9338,6.26
3029,6.91
10441,Unknown
14881,6.78
2075,6.07
949,6.52
4496,5.41
13563,Unknown
2991,5.81
8703,Unknown
6293,6.22
2067,7.33
9072,Unknown
15696,8.5
14657,6.94
6192,7.63
321,7.67
9902,5.89
17267,Unknown
12267,6.61
15252,4.85
8218,Unknown
12919,6.86
9736,Unknown
4630,6.63
14270,Unknown
4617,7.93
4359,6.64
5597,5.87
14461,Unknown
8606,8.63
8127,7.78
3538,7.57
12746,7.17
5228,7.39
7963,Unknown
13779,6.03
10496,6.8
7687,7.95
3519,5.75
8206,6.61
17278,Unknown
17301,Unknown
5163,Unknown
3691,6.7
13993,Unknown
17014,Unknown
6325,6.41
10268,6.05
5760,5.65
2619,7.26
5120,Unknown
15690,6.11
1839,6.07
5858,Unknown
5239,5.89
16395,6.79
11198,6.29
13922,Unknown
14970,7.48
11370,Unknown
9988,Unknown
762,7.29
11584,5.22
110,7.42
2442,7.0
9848,5.19
11972,5.38
2754,6.37
9703,5.1
5653,7.08
12300,Unknown
4077,8.57
8114,6.07
12491,6.33
11907,6.51
5359,6.89
7828,6.38
245,7.8
14477,Unknown
15957,8.2
5923,Unknown
15881,Unknown
95,6.97
5952,5.94
2611,7.29
13817,6.25
2818,6.2
219,7.02
10657,Unknown
9001,7.37
11167,6.92
2733,6.96
15376,Unknown
8852,6.58
2457,7.49
2533,6.92
13275,6.65
12705,7.42
10961,5.15
17285,Unknown
9193,Unknown
16249,5.07
5512,5.88
9052,Unknown
9708,6.08
4791,8.23
15446,Unknown
5532,6.23
16412,Unknown
319,7.0
16553,6.01
2375,7.13
3337,6.42
6386,7.32
12018,Unknown
16649,Unknown
330,5.63
1786,6.21
812,6.6
1978,6.65
3116,5.83
14815,5.56
613,7.22
1282,7.09
11734,6.42
6181,6.37
7077,6.01
10067,5.53
15578,5.57
11792,5.65
7934,7.2
6277,5.96
13880,Unknown
5948,7.13
10597,Unknown
9730,7.22
8842,Unknown
12291,Unknown
11898,5.88
15835,5.3
3921,6.26
8649,Unknown
14856,Unknown
4337,6.73
513,6.24
8076,5.76
16167,8.72
6074,6.61
9746,5.16
8493,6.16
3018,7.01
2692,7.08
11113,7.73
7221,7.3
6298,7.37
5903,7.27
13747,Unknown
5834,Unknown
7089,7.99
11070,Unknown
2664,6.42
92,7.38
12872,Unknown
1731,6.35
4329,5.16
5412,Unknown
13203,8.22
11633,5.53
2318,6.62
12709,6.32
9926,5.13
16393,Unknown
7921,Unknown
6162,6.14
10038,Unknown
17414,Unknown
1451,5.64
7416,6.33
3467,5.57
15248,5.74
7668,Unknown
16704,Unknown
8818,Unknown
5351,6.63
2794,6.9
3869,7.32
15880,Unknown
1943,7.04
8826,6.05
2593,7.33
11351,5.86
13768,5.9
5612,7.0
7976,6.42
4526,7.06
10510,5.73
5304,7.42
8528,5.72
4520,6.32
14259,7.12
2992,5.85
14758,7.76
5144,6.23
1511,7.38
8349,8.12
8198,Unknown
8735,Unknown
1513,5.88
9209,6.8
11152,Unknown
16284,6.75
2596,7.27
13561,Unknown
573,6.29
843,6.98
4556,6.66
6440,7.63
11520,Unknown
9834,5.17
9331,6.64
5396,5.78
5562,5.47
68,6.76
15049,5.75
17368,6.97
15996,Unknown
13792,Unknown
5880,6.36
17196,Unknown
1360,7.14
8285,5.86
6844,6.68
5735,5.05
7499,Unknown
15836,Unknown
12885,Unknown
7528,Unknown
13295,Unknown
4341,5.38
3017,6.4
6157,6.16
10281,3.87
4075,6.96
14598,6.8
13978,Unknown
4768,4.39
14520,5.38
2115,6.32
11405,Unknown
